,記事名,url,号数,年月日,ページ数,記事サイズ,執筆者
34,大学会館で企業説明会　26年卒　採用活動の早期化進む,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,14,大,壬生奏太　地球学類
35,宿舎で脱出ゲーム　８組31人が謎解き楽しむ,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,14,中,川畑悠成　知識情報・図書館学類
36,宿舎の理容室で40年　黒沢さん「できる限り続けたい」,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,14,中,惣田堅斗　心理学類２年
37,世界の教室から　怪我人として見た英国社会,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,14,世界の教室から,加藤緑　生物学類
38,「グロビ」で体験入居　留学生と国際交流も,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,15,中,松尾有姫　比較文化学類
39,サザコーヒーで豆まき　100万円分 平砂で風呂も,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,15,中,壬生奏太　地球学類
40,一の矢売店　閉店　利用者の減少に伴い,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,15,小,惣田堅斗　心理学類
41,麺専門店　第三学軍食堂へ移転　3A棟ご飯類も提供始める,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,15,小,壬生奏太　地球学類
42,追跡「結」プロジェクト　試験機完成へ　最終確認進める,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,15,小,青野心平　物理学類
43,Who's Who?　吃音の学生音楽団でギターを担当　中澤仁成さん（障害3年）　音楽で思い伝える　吃音で悩む人減らしたい,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,16,大,川上真生　社会学類
44,編集後記,https://www.tsukuba.ac.jp/about/public-newspaper/pdf/387.pdf,387,2025/4/2,16,編集後記,小野さくら　生物資源学類2年
